Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
376,2018-02-15,Infibeam,E-Commerce,Online Retailing,Network 18,Private Equity,"62,30,000",6230000,Ahemadabad
377,2018-02-16,happay,Finance,Expense Management,Sequoia and Jerry Yang,Seed / Angel Funding,"2,50,000",250000,Bengaluru
378,2018-02-16,Fincash,Finance,Fin-Tech,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,"1,50,000",150000,Mumbai
379,2018-02-19,AyeFinance,Finance,Online Lending,"Hinduja Leyland Finance, IntelleGrow",Private Equity,"38,00,000",3800000,Gurgaon
380,2018-02-20,Agricxlab,Agriculture,Agri-tech,Ankur Capital,Seed / Angel Funding,"5,00,000",500000,Mumbai
381,2018-02-21,Udaan,E-Commerce,B2B Marketplace,Lightspeed & Yuri Milner,Private Equity,"5,00,00,000",50000000,Bengaluru
382,2018-02-21,Capillary,IT,SaaS,"Wargburg Pincus, Sequoia",Private Equity,"2,00,00,000",20000000,Bengaluru
383,2018-02-21,The Healthy Billions,Healthcare,Analytics,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,"21,00,000",2100000,Gurgaon
385,2018-02-26,Avishkaar Box,Ed-Tech,Education,Auxano Deals,Private Equity,"7,72,500",772500,New Delhi
386,2018-02-26,Planys Technologies,Technology,Robotic InspectionStartup,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,"10,40,000",1040000,Chennai
388,2018-02-27,Trilyo,Technology,AI platform for hospitality industry,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,"2,50,000",250000,Mumbai
389,2018-02-28,Gaana,Technology,Online Music Streaming,"Tencent Holdings Ltd, Times Internet",Private Equity,"11,50,00,000",115000000,Gurgaon
390,2018-02-28,Credy,IT,SaaS,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,"14,00,000",1400000,Bengaluru
393,2018-01-04,EarlySalary,Finance,Online Lending,Eight Roads Ventures India,Private,"1,57,00,000",15700000,Pune
396,2018-01-09,Lendingkart,Finance,Online Lending,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"47,00,000",4700000,Ahmedabad
398,2018-01-10,Tapzo,Technology,Personal Assistant,RuNet & Other,Private Equity,"19,30,000",1930000,Bengaluru
399,2018-01-10,Appario Retail Pvt Ltd.,E-commerce,Retail,Amazon-Patni JV,Private Equity,"1,88,40,000",18840000,New Delhi
400,2018-01-10,Samunnati,Finance,Agricultural Loan,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"2,35,00,000",23500000,Chennai
401,2018-01-10,Sahajanand Medical Technologies,Technology,Medical Devices,Morgan Stanley Private Equity Asia,Private Equity,"3,62,30,000",36230000,Surat
402,2018-01-12,Kuants,Technology,Algorithmic Trading,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000",80000,Gurgaon
403,2018-01-12,Razorpay,Technology,Payment Gateway,"Tiger Global, Y Combinator",Private Equity,"2,00,00,000",20000000,Bengaluru
404,2018-01-15,Streak,Technology,Algorithmic Trading,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"3,54,600",354600,Bengaluru
405,2018-01-15,pi Ventures,Finance,Venture Capital,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,"2,50,00,000",25000000,Bengaluru
406,2018-01-15,Newgen Software,Technology,IT,"Goldman Sachs, hedge fund & Others",Private Equity,"2,00,00,000",20000000,New Delhi
407,2018-01-17,Rubix,Technology,Education,Polaris Fund,Private Equity,"10,00,000",1000000,Pune
408,2018-01-18,ShareChat,Technology,Social,"Xiaomi Singapore, Shunwei Capital",Private Equity,"1,82,00,000",18200000,Bengaluru
409,2018-01-22,Paperflite,Technology,IT,The Chennai Angels,Angel / Seed Funding,"4,00,000",400000,Chennai
410,2018-01-22,HungerBox,Consumer Internet,Food and Beverages,Lionrock Capital,Private Equity,"25,00,000",2500000,Bengaluru
412,2018-01-22,OptaCredit,Finance,Alternative Lending,DMI Finance,Private Equity,"40,00,000",4000000,Chennai
413,2018-01-22,AEON Learning,Technology,Education,Dr. Ranjan Pai,Private Equity,"32,00,000",3200000,Bengaluru
414,2018-01-23,Milkbasket,E-commerce,Online Grocery,Unilever Ventures,Private Equity,"30,00,000",3000000,Gurgaon
415,2018-01-24,NeoGrowth Credit,Finance,Digital Lending,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"4,70,00,000",47000000,Mumbai
416,2018-01-24,Rao IIT Academy,Education,Coaching Services,Avendus Finance,Structured Debt,"86,00,000",8600000,Mumbai
417,2018-01-24,Aye Finance,Finance,Online Lending,IFMR Capital,Term Loan,"62,40,000",6240000,Gurgaon
419,2018-01-25,GreyAtom,Technology,Education,Pravega Ventures,Private Equity,"10,00,000",1000000,Mumbai
420,2018-01-26,Axio,Healthcare,Hemostatic Dressing Solutions,RNT Capital,Private Equity,"74,00,000",7400000,Bengaluru
421,2018-01-29,eKincare,Healthcare,Technology,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"15,00,000",1500000,Hyderabad
422,2018-01-29,The Wedding Brigade,Consumer internet,Online Services,Blume Ventures,Private Equity,"10,00,000",1000000,Mumbai
423,2018-01-30,PeeSafe,Healthcare,Hygiene,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"10,00,000",1000000,Gurgaon
424,2018-01-30,BrowserStack,Technology,Browser Testing,Accel Partners,Private Equity,"5,00,00,000",50000000,Mumbai
425,2018-01-30,Scapic,Technology,Virtual Reality,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"5,00,000",500000,Bengaluru
426,2018-01-30,MoneyOnMobile,Technology,Mobile Payment Platform,Undisclosed Investors,Private Equity,"76,00,000",7600000,Mumbai
427,2018-01-30,CureFit,Healthcare,Fitness,"HDFC Bank, Axis Bank",Debt Funding,"1,00,00,000",10000000,Bengaluru
428,2018-01-31,iNurture,Technology,Education Solutions,Ventureast,Private Equity,"44,00,000",4400000,Bengaluru
430,2017-12-05,Dunzo,Technology,Daily Task Management Mobile App,Google,Private Equity,"1,23,00,000",12300000,Bengaluru
431,2017-12-05,Tata Housing,Real Estate,Residential Project,Hines,Private Equity,"2,30,00,000",23000000,Mumbai
432,2017-12-05,HandyTrain,Technology,Mobile Learning Management Platform,NB Ventures,Private Equity,"10,00,000",1000000,Goa
433,2017-12-05,Mobycy,Technology,Bicycle sharing Platform,Undisclosed Investors,Seed/Angel Funding,"5,00,000",500000,Gurgaon
434,2017-12-06,Greenlight Planet,Technology,Off-grid solar products platform,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"6,00,00,000",60000000,Mumbai
435,2017-12-06,Fintobox,Technology,Child Learning & Development Platform,Lightbox,Private Equity,"70,00,000",7000000,Chennai
436,2017-12-07,Mswipe,Technology,Mobile point of sale services provider,Eduardo Saverin,Private Equity,"1,00,00,000",10000000,Mumbai
437,2017-12-07,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Kalpvriksh,Private Equity,"31,00,000",3100000,Mumbai
438,2017-12-07,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Somerset Indus Capital Ventures,Seed/Angel Funding,"7,50,000",750000,Gurgaon
439,2017-12-07,eShakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",IDG Ventures,Debt Funding,"23,00,000",2300000,Chennai
440,2017-12-08,Inshorts,Technology,Mobile News Curation App,Tiger Global,Private Equity,"50,00,000",5000000,Noida
441,2017-12-11,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,"Singapore Angel Network, Mumbai Angel",Private Equity,"15,00,000",1500000,New Delhi
442,2017-12-11,Logic Roots,Technology,Educational Platform to Learn Mathematics,Village Capital,Seed/Angel Funding,"50,000",50000,Mumbai
443,2017-12-11,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Village Capital,Seed/Angel Funding,"50,000",50000,Bengaluru
444,2017-12-11,Furlenco,Technology,Furniture Rental Platform,Aamir Khan,Debt Funding,"12,00,000",1200000,Bengaluru
445,2017-12-12,I Can Stay,Technology,Hotel Aggregator Platform,HT Media,Private Equity,"18,00,000",1800000,New Delhi
447,2017-12-12,Simility,Technology,Adaptive Fraud Intelligence Platform,Accel Partners,Private Equity,"1,75,00,000",17500000,Hyderabad
448,2017-12-12,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Munesh Khanna,Seed/Angel Funding,"2,33,000",233000,Gurgaon
449,2017-12-13,MindTickle,Technology,Gamification Platform to train Sales People,Canaan Partners,Private Equity,"2,70,00,000",27000000,Pune
450,2017-12-13,Nazara Technologies,Technology,Mobile Games Development Firm,Rakesh Jhunjhunwala,Private Equity,"2,70,00,000",27000000,Mumbai
451,2017-12-13,DocsApp,Technology,Mobile Application for Doctor Consultation,Bessemer Venture Partners,Private Equity,"72,00,000",7200000,Bengaluru
453,2017-12-14,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,RB Investments,Private Equity,"70,00,000",7000000,Bengaluru
454,2017-12-14,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Matrix Partners,Private Equity,"60,00,000",6000000,Bengaluru
455,2017-12-14,Curofy,Technology,Mobile App for Network of Doctors,RoundGlass Partners LLC,Seed/Angel Funding,"2,50,000",250000,Gurgaon
456,2017-12-14,HomeLane,E-Commerce,Online Furniture Marketplace,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"1,00,00,000",10000000,Bengaluru
458,2017-12-15,Purplle,E-Commerce,Beauty Products Online Marketplace,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"5,37,000",537000,Mumbai
461,2017-12-19,Springboard,Technology,Online Courses and Mentoring from Experts,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"95,00,000",9500000,Bengaluru
463,2017-12-19,9Stacks,Technology,Online Poker Platform,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,"15,00,000",1500000,New Delhi
464,2017-12-20,Your Quote,Technology,Vernacular and Video Content Platform,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,"10,00,000",1000000,Bengaluru
465,2017-12-20,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,"1,95,00,000",19500000,Hyderabad
466,2017-12-21,Indus OS,Technology,Regional Operating System for Smartphones,Omidyar Network,Private Equity,"40,00,000",4000000,Mumbai
467,2017-12-21,EasyEcom,E-Commerce,Ecommerce enabler platform,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,"1,50,000",150000,Bengaluru
469,2017-12-26,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Eight Roads Ventures India,Private Equity,"1,00,00,000",10000000,Chennai
471,2017-12-27,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Jones Lang LaSalle,Private Equity,"38,00,000",3800000,Hyderabad
472,2017-11-02,Prest Loans,Finance,Business & SME Loans provider,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"5,70,000",570000,New Delhi
475,2017-11-03,Vagupu,Technology,Online Tutorial Marketplace,Undisclosed Investors,Seed Funding,"10,00,000",1000000,Bengaluru
477,2017-11-03,Kalpnik Technologies,Technology,VR based Spiritual platform,Venture Catalysts,Seed Funding,"5,00,000",500000,Bengaluru
478,2017-11-04,Hevo Data,Technology,Real time data analytics & reporting,IDG Ventures India,Private Equity,"10,00,000",1000000,Bengaluru
482,2017-11-07,DocTalk,Technology,Doctor Patient Communication platform,"Matrix Partners India, Khosla Ventures",Private Equity,"50,00,000",5000000,Mumbai
483,2017-11-07,CoveIoT,Technology,Wearable tech and Internet of Things platform,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,"50,00,000",5000000,Bengaluru
484,2017-11-08,TalentEdge,Technology,Distance Education Learning Platform,Lumis Partners,Private Equity,"76,00,000",7600000,Bengaluru
485,2017-11-08,Fisdom,Finance,Mutual Fund Investment App,Quona Capital Management,Private Equity,"30,00,000",3000000,Bengaluru
486,2017-11-08,FarmLink,eCommerce,Online platform for Agricultural products,"Pioneering Ventures, Syngenta AG",Private Equity,"30,00,000",3000000,Mumbai
487,2017-11-08,OpenApp,Technology,IoT based Tech Startup,"Axilor Ventures, Kumar Vembu",Private Equity,"36,00,000",3600000,Bengaluru
488,2017-11-09,NoPaperForms,Technology,Enrolment Management Platform,Info Edge,Seed Funding,"8,72,000",872000,New Delhi
491,2017-11-10,Qubole,Technology,Big Data based analytics platform,"Singtel, Innov8, Harmony Partners",Private Equity,"2,50,00,000",25000000,Bengaluru
493,2017-11-13,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Accel Partners,PrivateEquity,"1,50,00,000",15000000,Mumbai
495,2017-11-14,Active AI,Technology,AI based FinTech platform,Vertex Ventures,Private Equity,"82,50,000",8250000,Bengaluru
496,2017-11-15,Sumeru,Technology,Banking Software License Platform,Undisclosed Investors,Seed Funding,"9,00,000",900000,Bengaluru
498,2017-11-15,Omnia Information,Technology,WiFi Analytics Platform,Omidyar Network,Private Equity,"30,00,000",3000000,New Delhi
501,2017-11-17,Kanhaiya,Inspiration,Storytelling platform,Undisclosed Investors,Seed/Angel Funding,"2,00,000",200000,Hyderabad
503,2017-11-20,ONN Bikes,Technology,Self riding bike rental program,Z Nation Lab,Seed/Angel Funding,"6,92,000",692000,Mumbai
504,2017-11-21,Rapido,Technology,Bike and Taxi pooling online platform,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"3,29,230",329230,Hyderabad
505,2017-11-21,Heckyl,Technology,Big Data Analytics Platform,"Notion Capital, IDG Ventures",Private Equity,"27,00,000",2700000,Mumbai
506,2017-11-21,Nuvepro,Technology,Managed Cloud Environment Solutions,1Crowd,Seed/Angel Funding,"4,00,000",400000,Mumbai
507,2017-11-21,RedBook,Technology,AI based pharmacy drugs insights platform,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"2,50,000",250000,Mumbai
508,2017-11-21,Portea,Healthcare,Healthcare facilities at doorstep,"Sabre Partners, MEMG CDC",Private Equity,"2,60,00,000",26000000,Bengaluru
510,2017-11-21,Epiq Capital,Finance,Tech based investor firm,Global Institutional Investors,Private Equity,"20,00,00,000",200000000,Mumbai
513,2017-11-24,IDG Ventures,Finance,Venture Capitalist,Uniliver Ventures,Private Equity,"1,00,00,000",10000000,Bengaluru
514,2017-11-24,TempGo,Technology,IoT and SaaS based transportation platform,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000",250000,Goa
515,2017-11-27,Edelweiss,Finance,Diversified Financial,Undisclosed investors,Private Equity,"27,00,00,000",270000000,Mumbai
516,2017-11-27,ERA,Technology,Identity management platform,Amit Patni,Seed/Angel Funding,"39,000",39000,Mumbai
517,2017-11-27,Smaaash,Technology,Virtual Reality based gaming platform,Sixth Sense Ventures,Private Equity,"38,00,000",3800000,Mumbai
518,2017-11-28,Chumbak,Lifestyle,Designer-led consumer products,Gaja Capital,Private Equity,"1,30,00,000",13000000,Bengaluru
519,2017-11-28,FR8,Technology,Online Truck aggregator platform,IFMR Capital,Debt Funding,"15,00,000",1500000,Chennai
520,2017-11-28,MobieFit,Healthcare,Health and fitness based mobile App,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000",1350000,Goa
521,2017-11-28,Stanza Living,Technology,Student accommodation platform,"Matrix PArtners, Accel",Private Equity,"20,00,000",2000000,New Delhi
524,2017-10-03,Ola Cabs,Consumer Internet,App based cab hailing services,"Tencent, Softbank Group",Private Equity,"11,00,00,000",110000000,Bengaluru
526,2017-10-04,CollPoll,Consumer Internet,Education collaboration platform,Sprout Angels,Seed Funding,"3,06,000",306000,Bengaluru
527,2017-10-04,PhonePe,Consumer Internet,Digital Wallet,Flipkart,Private Equity,"3,87,00,000",38700000,Bengaluru
528,2017-10-05,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000",1000000,New Delhi
529,2017-10-05,Oorjan,Technology,rooftop solar platform,Globevestor,Seed Funding,"4,50,000",450000,Mumbai
530,2017-10-05,Zefo,ECommerce,Ecommerce Portal for Used Goods,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000",9200000,Bengaluru
531,2017-10-06,Yaantra,ECommerce,Mobile repair and Refurbishment platform,Carpediem Capital,Private Equity,"31,00,000",3100000,New Delhi
532,2017-10-06,Farm Taaza,Technology,Fresh Produce SCM company,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000",8000000,Bengaluru
533,2017-10-06,Drivezy,Consumer Internet,Self Drive car and bike rental platform,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"1,00,00,000",10000000,Bengaluru
534,2017-10-06,Slice Pay,Consumer Internet,Student Micro-financing platform,"Das Capital, Simile Ventures",Private Equity,"20,00,000",2000000,Bengaluru
536,2017-10-09,MyGubbi,eCommerce,Home Interior Designing Seller,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"27,00,000",2700000,Bengaluru
539,2017-10-09,OneStepUp,Technology,Education Technology platform,Orient BlackSwan,Seed Funding,"3,36,000",336000,New Delhi
541,2017-10-10,Parallel Dots,Technology,AI-powered deep learning solutions,"Multipoint Capital,",Private Equity,"14,00,000",1400000,Gurgaon
542,2017-10-10,Easy Diner,Consumer Internet,online restaurant reservation platform,Saama Capital and DSG Consumer Partners,Private Equity,"45,00,000",4500000,Gurgaon
543,2017-10-11,Meesho,ECommerce,Online Reseller Network,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"31,00,000",3100000,Bengaluru
544,2017-10-11,StanPlus,Logistics,Medical Transportation Services,KStart Capital,Private Equity,"11,00,000",1100000,Hyderabad
545,2017-10-12,UCLID,Technology,"Education Network for Institutions, teachers & Students",Undisclosed investors,Seed Funding,"2,35,000",235000,Hyderabad
546,2017-10-13,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,"Wellington Management, DG Ventures India, True North",Private Equity,"7,70,00,000",77000000,Gurgaon
547,2017-10-13,Gapoon,Consumer Internet,home maintenance services platform,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"2,50,000",250000,Bengaluru
548,2017-10-13,Chaayos,eCommerce,Online Chai ordering platform,Tiger Global Management,Private Equity,"20,00,000",2000000,Gurgaon
549,2017-10-16,KrazyBee,Consumer Internet,Micro-lending platform,"Xiaomi Technologies, Shunwei Capital",Private Equity,"80,00,000",8000000,Bengaluru
550,2017-10-16,Renew Buy,Consumer Internet,Online Insurance Aggregator,Amicus Capital,Private Equity,"92,00,000",9200000,New Delhi
551,2017-10-17,Fingerlix,Consumer Internet,Food Ordering Portal,"Accel Partners, Zephyr Peacock",Private Equity,"70,00,000",7000000,Bengaluru
552,2017-10-18,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Experian,Private Equity,"70,00,000",7000000,Chennai
554,2017-10-18,BlackBuck,Logistics,B2B Logistics provider,Innoven Capital,Private Equity,"77,00,000",7700000,Bengaluru
555,2017-10-18,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Undisclosed Investor,Seed Funding,"5,00,000",500000,Mumbai
556,2017-10-23,Toppr,Consumer Internet,Mobile based learning app,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"70,00,000",7000000,Mumbai
557,2017-10-23,RAW Pressery,Food & Beverage,Cold pressed Juice maker,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"60,00,000",6000000,Mumbai
558,2017-10-23,Cashe,Consumer Internet,app-only lending platform,IFMR Capital,Debt Funding,"31,00,000",3100000,Mumbai
559,2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Rockstart Accelerator,Seed Funding,"1,18,000",118000,Kolkata
561,2017-10-24,FYRE,Food & Beverage,Herbal energy shot maker,Venture Catalysts,Seed Funding,"5,00,000",500000,Mumbai
562,2017-10-24,ZipLoan,Consumer Internet,SME lending platform,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"30,00,000",3000000,New Delhi
563,2017-10-24,Skillenza,Consumer Internet,Online Learning Platform,"Blume Ventures, Indian Angel Network",Seed Funding,"7,22,000",722000,Bengaluru
566,2017-10-25,SpotDraft,Consumer Internet,Contract Automation,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"5,50,000",550000,Gurgaon
567,2017-10-26,Big Basket,eCommerce,Online Grocery portal,Helion Ventures Partners,Private Equity,"50,00,000",5000000,Bengaluru
568,2017-10-27,OfBusiness,Technology,B2B Finance & Fulfilment Network,Kotak Mahindra Bank,Debt Funding,"38,00,000",3800000,Gurgaon
570,2017-10-28,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,Y Combinator,Seed Funding,"1,20,000",120000,New Delhi
571,2017-10-28,Ola Cabs,Consumer Internet,App based cab hailing services,ANI Technologies Pvt. Ltd,Private Equity,"77,00,000",7700000,Bengaluru
572,2017-10-30,GoldFarm,Food & Beverage,Agriculture Technology,Mahindra & Mahindra and Infuse Ventures,Private Equity,"20,00,000",2000000,Coimbatore
573,2017-10-31,NetMeds,ECommerce,Online Pharmacy,TannCam Investment & Sistema Asia Fund,Private Equity,"1,40,00,000",14000000,Chennai
574,2017-10-31,MSE,Finance,Equity Stock Exchange,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"3,20,00,000",32000000,Mumbai
575,2017-09-01,Aahaa Stores,eCommece,Online B2B store for office supplies,YourNest Angel Fund,Private Equity,"10,00,000",1000000,Chennai
576,2017-09-01,MFine,Consumer Internet,Online Doctor Discovery platform,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"15,00,000",1500000,Bengaluru
577,2017-09-01,Canvera,Consumer Internet,Online Photography platform,InfoEdge,Private Equity,"13,00,000",1300000,Mumbai
578,2017-09-04,PrimaryIO,Technology,Application Performance Acceleration,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"56,00,000",5600000,Pune
579,2017-09-05,Shubh Loans,Consumer Internet,online lending platform,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"15,00,000",1500000,Bengaluru
580,2017-09-05,Nest Education,Technology,EduTech Platform,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"6,00,000",600000,Gurgaon
581,2017-09-06,Lending Kart,Consumer Internet,Online Lending Platform,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"1,07,50,000",10750000,Ahmedabad
582,2017-09-06,GoFro,Consumer Internet,Online travel booking platform,"HIS Co. Ltd, MakeMyTrip",Private Equity,"1,00,00,000",10000000,New Delhi
583,2017-09-06,OncoStem,Healthcare,Medical Diagnostic Solutions,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000",6000000,Bengaluru
584,2017-09-06,Power2SME,eCommerce,Buying Club for Small Businesses,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000",26000000,Gurgaon
585,2017-09-07,Credit Vidya,Consumer Internet,Online Credit scoring platform,Matrix Partners,Private Equity,"50,00,000",5000000,Mumbai
587,2017-09-07,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000",250000000,Gurgaon
588,2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,IFMR Capital,Debt Funding,"7,80,000",780000,Pune
590,2017-09-07,Seniority,eCommerce,Ecommerce portal for senior citizens,RPG Enterprises,Private Equity,"10,00,000",1000000,Pune
591,2017-09-08,AYE Finance,Consumer Internet,Micro Lending Platform,"Triodos Investment Management,",Debt Funding,"69,00,000",6900000,New Delhi
593,2017-09-11,Ecom Express,Logistics,Logistics Solutions provider,Warburg Pincus,Private Equity,"3,00,00,000",30000000,New Delhi
594,2017-09-11,Call Health,Consumer Internet,Healthcare Services Aggregator,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"62,00,000",6200000,Hyderabad
596,2017-09-12,3HCare,Consumer Internet,Healthcare services portal,Undisclosed Investor,Seed Funding,"1,00,000",100000,New Delhi
597,2017-09-12,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"1,70,00,000",17000000,Bengaluru
598,2017-09-12,Get My Parking,Consumer Internet,Smart Parking Enabler,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"30,00,000",3000000,New Delhi
600,2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,"Accel Partners,",Private Equity,"20,00,000",2000000,Bengaluru
601,2017-09-13,OYO Rooms,Consumer Internet,udget hotel marketplace,China Lodging Group,Private Equity,"1,00,00,000",10000000,Gurgaon
602,2017-09-13,Unacademy,Consumer Internet,Online learning platform,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"1,15,00,000",11500000,Mumbai
603,2017-09-13,Heterogenous,Technology,Telecom & IoT platform,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"7,80,000",780000,Chennai
605,2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,ECL Finance,Private Equity,"4,40,00,000",44000000,Mumbai
606,2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Y Combinator,Seed Funding,"1,20,000",120000,Bengaluru
608,2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,"DSG Consumer Partners, Saama Capital",Private Equity,"10,00,000",1000000,Gurgaon
610,2017-09-19,High Radius,Technology,Integrated receivables software solutions,Susquehanna Growth Equity LLC,Private Equity,"5,00,00,000",50000000,Hyderabad
612,2017-09-21,SaveBC,Finance,financial services firm,Incofin Investment Management.,Private Equity,"60,00,000",6000000,Gaya
615,2017-09-21,Homergize,eCommerce,Home Furnishing & Building material marketplace,LG Chandrasekhar,Private Equity,"10,00,000",1000000,Bengaluru
616,2017-09-22,Yatra.com,eCommerce,Online Travel Agency,InnoVen Capital India,Debt Funding,"1,54,00,000",15400000,Gurgaon
619,2017-09-25,Synup,Technology,SME Marketing Management Solution,"Vertex Ventures, Prime Venture Partners.",Private Equity,"60,00,000",6000000,Bengaluru
622,2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,Battery Road Digital Holdings LLC,Seed Funding,"4,22,000",422000,Bengaluru
623,2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mehul Shah,Seed Funding,"1,50,000",150000,Mumbai
627,2017-09-27,Transerve,Technology,Geospatial Technology-based SaaS solutions,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"16,00,000",1600000,Mumbai
629,2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"10,00,000",1000000,Bengaluru
631,2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,LetsVenture,Seed Funding,"3,00,000",300000,New Delhi
632,2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Keiretsu Forum,Private Equity,"10,00,000",1000000,Bengaluru
