Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
233,2018-06-10,AyeFinance,Finance,Online Lending Platform,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,"2,15,00,000",21500000,Gurgaon
235,2018-06-12,Alpha Capital,Finance,Supplychain Finance,Alpha Capital,Private Equity,"1,48,00,000",14800000,Mumbai
236,2018-06-12,eshakti,E-Commerce,Fashion e-tailer,Paragon Partners,Private Equity,"1,01,00,000",10100000,Chennai
237,2018-06-12,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Saama Capital and Sequoia Capital,Seed/ Angel Funding,"30,00,000",3000000,Bengaluru
238,2018-06-13,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,"3,000,00",300000,Gurgaon
239,2018-06-13,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,"4,50,000",450000,Noida
241,2018-06-14,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Brand Capital,Seed/ Angel Funding,"34,50,000",3450000,Bengaluru
242,2018-06-14,Network Intelligence,Technology,Cybersecurity Specialist,Helix Investments,Private Equity,"48,00,000",4800000,Mumbai
243,2018-06-18,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Lighthouse Funds & Thuasne Participations,Private Equity,"2,10,00,000",21000000,Chandigarh
244,2018-06-18,Elucidata,IT,Data Analytics (SaaS),Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,"17,00,000",1700000,Delhi & Cambridge
246,2018-06-19,RentSher,Consumer Internet,Online Rental Marketplace,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,"11,00,000",1100000,Bengaluru
247,2018-06-20,Drip capital,Finance,Trade Finance Firm,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,"1,50,00,000",15000000,Mumbai
248,2018-06-22,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,"91,00,000",9100000,Bengaluru
249,2018-06-25,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,"20,00,00,000",200000000,Gurgaon
250,2018-06-25,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Diageo India,Private Equity,"40,00,000",4000000,Bengaluru
251,2018-06-25,Sqqrl,Finance,App-based investment platform,Equanimity Venture Fund,Seed/ Angel Funding,"10,00,000",1000000,Gurgaon
252,2018-06-26,Paytm,Technology,Digital Payment Platform,One 97 Communications,Private Equity,"89,50,000",8950000,Noida
253,2018-06-26,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,"1,90,00,000",19000000,Bengaluru
254,2018-06-27,Wow Express,Technology,E-commerce Logistics Platform,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,"45,00,000",4500000,Mumbai
255,2018-06-28,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Speciale Invest & Others,Seed/ Angel Funding,"11,00,000",1100000,Bengaluru
256,2018-06-28,Edureka,Ed-Tech,Online Education Platform,Leo Capital,Seed/ Angel Funding,"20,00,000",2000000,Bengaluru
258,2018-05-02,OpenTap,Finance,Online Lending Platform,Unknown High Net-Worth Individuals,Seed / Angel Funding,"4,50,000",450000,Chennai
259,2018-05-02,Bizongo,Consumer Internet,Aggregator For Packaging Material,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,"2,20,00,000",22000000,Mumbai
260,2018-05-03,Disprz,IT,SaaS,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,"25,00,000",2500000,Chennai
262,2018-05-09,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,"10,00,000",1000000,Mumbai
263,2018-05-11,Earth Food,Consumer Internet,Agri-tech,Rairah Corporation,Seed / Angel Funding,"9,49,000",949000,Pune
264,2018-05-14,Nykaa,Consumer Internet,Beauty e-tailer,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"2,40,00,000",24000000,Mumbai
265,2018-05-16,mfine,Healthcare,Doctor-Consultation App,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000,4200000,Bengaluru
266,2018-05-21,Rocketium,Technology,Online Video Creation Platform,Blume ventures,Seed/ Angel Funding,"3,00,000",300000,Bengaluru
267,2018-05-21,MilkBasket,Technology,Micro-Delivery Grocery Startup,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,"70,00,000",7000000,Gurgaon
268,2018-05-22,Vola,Finance,Micro Lending Platform,Credika and unnamed angel investors,Seed/ Angel Funding,"5,00,000",500000,Bengaluru
269,2018-05-22,Cashkumar,Consumer Internet,P2P Lending Platform,LetsVenture,Seed/ Angel Funding,"7,35,000",735000,Bengaluru
270,2018-05-23,Edyoo,E-Commerce,Products For Shoolgoing Children,RS Shanbag,Seed/ Angel Funding,"7,35,000",735000,Bengaluru
271,2018-05-23,Aashiyaan,Finance,Housing Finance For Low-Income Families,"Insistor, Oikocredit",Seed/ Angel Funding,"20,00,000",2000000,Kolkata
272,2018-05-24,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,"20,00,000",2000000,New Delhi
273,2018-05-24,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,"2,93,000",293000,New Delhi
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,"1,20,00,000",12000000,Mumbai
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,"2,00,000",200000,Mumbai
276,2018-05-29,Toffee,Consumer Internet,Online Insurance Platform,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,"15,00,000",1500000,Gurgaon
277,2018-05-29,Tonetag,Technology,Mobile Payments Technology Platform,Amazon Inc. and Mastercard,Private Equity,"80,00,000",8000000,Bengaluru
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,"1,40,00,000",14000000,Bengaluru
280,2018-05-31,Credright,Consumer Internet,Lending Platform For SMEs,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,"13,000,00",1300000,Hyderabad
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,"20,00,000",2000000,Mumbai
282,2018-04-02,Synctag,Technology,Social Media Anlaytics Platform,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,"3,07,600",307600,Coimbatore
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,"5,50,00,000",55000000,Bengaluru
286,2018-04-05,IndigoLearn,Ed-Tech,Online Education Platform,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,"1,50,000",150000,Hyderabad
287,2018-04-05,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,"Accel Partners, Tiger Global And Others",Private Equity,"1,00,00,000",10000000,Bengaluru
